word,emotion,emotion-intensity-score
apologetic,happy,0.5
deport,sad,0.5
unfair,sad,0.5
senile,sad,0.5
disrespectful,sad,0.5
damper,sad,0.5
exclusion,sad,0.5
intolerant,sad,0.5
explode,sad,0.5
bankruptcy,sad,0.5
prosecute,sad,0.5
coma,sad,0.5
howl,sad,0.5
shun,anger,0.5
defy,anger,0.5
impossible,sad,0.5
bier,sad,0.5
endemic,sad,0.5
discomfort,sad,0.5
ungodly,sad,0.5
messedup,sad,0.5
offended,sad,0.5
injurious,sad,0.5
weary,sad,0.5
mortality,sad,0.5
cringe,sad,0.5
drugged,sad,0.5
dolor,sad,0.5
chronic,sad,0.5
anxiety,sad,0.5
cytomegalovirus,sad,0.5
gonorrhea,sad,0.5
difficulty,sad,0.5
frowning,sad,0.5
anguish,anger,0.5
antithesis,anger,0.5
fear,anger,0.5
bout,anger,0.5
infarct,fear,0.5
odious,fear,0.5
illegal,fear,0.5
prohibited,fear,0.5
constraint,fear,0.5
surrender,fear,0.5
mistrust,fear,0.5
ruined,fear,0.5
snowmageddon,fear,0.5
downfall,fear,0.5
wasp,fear,0.5
instability,fear,0.5
slayer,surprise,0.5
erotic,surprise,0.5
marvelous,surprise,0.5
sinful,fear,0.5
disturbed,sad,0.5
suppress,fear,0.5
squeamish,fear,0.5
derision,anger,0.5
banished,anger,0.5
animus,anger,0.5
reject,anger,0.5
meritorious,happy,0.5
dominate,anger,0.5
patronising,anger,0.5
brazen,anger,0.5
disrupting,anger,0.5
ordeal,anger,0.5
foaming,anger,0.5
vertigo,fear,0.5
premeditated,fear,0.5
prayforme,fear,0.5
suppression,fear,0.5
frenetic,fear,0.5
fainting,surprise,0.5
atherosclerosis,sad,0.5
crash,sad,0.5
charitable,happy,0.5
inviting,happy,0.5
erotic,happy,0.5
bloom,happy,0.5
christ,happy,0.5
accomplish,happy,0.5
beach,happy,0.5
carefree,happy,0.5
purr,happy,0.5
surreal,happy,0.5
nature,happy,0.5
respect,happy,0.5
visionary,happy,0.5
badge,happy,0.5
friends,happy,0.5
healthy,happy,0.5
excel,happy,0.5
welcoming,happy,0.5
soulful,happy,0.5
refreshed,happy,0.5
