word,emotion,emojis
aggression,anger,False
aggressive,anger,False
anger,anger,False
angered,anger,False
angers,anger,False
angriness,anger,False
angry,anger,False
annoy,anger,False
annoyance,anger,False
annoyed,anger,False
annoying,anger,False
annoys,anger,False
appall,anger,False
appalled,anger,False
appalls,anger,False
arse,anger,False
ass,anger,False
asses,anger,False
asshole,anger,False
assholes,anger,False
atrocious,anger,False
bias,anger,False
biased,anger,False
bitch,anger,False
bitches,anger,False
bloody,anger,False
butts,anger,False
c word,anger,False
cock,anger,False
cocks,anger,False
cocksucker,anger,False
cocksuckers,anger,False
cunt,anger,False
cunts,anger,False
damn,anger,False
damned,anger,False
devestated,anger,False
dickhead,anger,False
do not listen,anger,False
dumb,anger,False
dumbass,anger,False
dumbasses,anger,False
dumber,anger,False
dumbest,anger,False
dumbo,anger,False
dummies,anger,False
dummy,anger,False
embarrass,anger,False
embarrassed,anger,False
embarrasses,anger,False
embarrassing,anger,False
embarrassment,anger,False
enrage,anger,False
enraged,anger,False
f k,anger,False
f off,anger,False
f the,anger,False
f you,anger,False
fck,anger,False
fk,anger,False
fk up,anger,False
fkn,anger,False
fooled,anger,False
freaking,anger,False
frustrate,anger,False
frustrated,anger,False
frustrates,anger,False
frustrating,anger,False
frustration,anger,False
frustrative,anger,False
fuck,anger,False
fucked,anger,False
fucker,anger,False
fuckers,anger,False
fuckery,anger,False
fucking,anger,False
fucks,anger,False
fuddled,anger,False
fugly,anger,False
fuk,anger,False
fumes,anger,False
furious,anger,False
furiousness,anger,False
furor,anger,False
furore,anger,False
get outta here,anger,False
go broke,anger,False
gobroke,anger,False
goddamn,anger,False
goddamnit,anger,False
gr,anger,False
grr,anger,False
grrr,anger,False
harassed,anger,False
hard to believe,anger,False
hate,anger,False
hated,anger,False
hateful,anger,False
hates,anger,False
hideous,anger,False
hooker,anger,False
hostile,anger,False
hostility,anger,False
infuriate,anger,False
infuriated,anger,False
infuriates,anger,False
insecure,anger,False
insecurity,anger,False
irate,anger,False
irritate,anger,False
irritated,anger,False
irritates,anger,False
irritating,anger,False
irritation,anger,False
irritative,anger,False
jealous,anger,False
jealousy,anger,False
kill them all,anger,False
lazy people,anger,False
let them die,anger,False
mad,anger,False
maddened,anger,False
mf,anger,False
mofo,anger,False
motherfucker,anger,False
motherfuckers,anger,False
n word,anger,False
no respect,anger,False
nonsense,anger,False
not trust,anger,False
outrage,anger,False
outraged,anger,False
outrageous,anger,False
pestered,anger,False
pestering,anger,False
pestiferous,anger,False
piss,anger,False
pissed,anger,False
pisses,anger,False
pissing,anger,False
provoked,anger,False
rage,anger,False
raging,anger,False
rape,anger,False
raped,anger,False
rapes,anger,False
resentful,anger,False
resents,anger,False
sarcasm,anger,False
sarcastic,anger,False
scream,anger,False
screaming,anger,False
screams,anger,False
shit,anger,False
shithead,anger,False
shits,anger,False
shittiest,anger,False
shitting,anger,False
shitty,anger,False
should be fired,anger,False
shut up,anger,False
shyt,anger,False
skeptical,anger,False
slay the,anger,False
