original,changed,type,
ain't,is not,contraction,
aren't,are not,contraction,
can't,cannot,contraction,
can't've,cannot have,contraction,
could've,could have,contraction,
couldn't,could not,contraction,
couldn't've,could not have,contraction,
didn't,did not,contraction,
didnt,did not,contraction,
doesn,does not,contraction,
doesn't,does not,contraction,
doesnt,does not,contraction,
don't,do not,contraction,
hadn't,had not,contraction,
hadn't've,had not have,contraction,
hasn't,has not,contraction,
hasnt,has not,contraction,
haven't,have not,contraction,
he'd,he would,contraction,
he'd've,he would have,contraction,
he'll,he will,contraction,
he'll've,he will have,contraction,
he's,he is,contraction,
here's,here is,contraction,
how'd,how did,contraction,
how'd'y,how do you,contraction,
how'll,how will,contraction,
how's,how is,contraction,
i'd,i would,contraction,
i'd've,i would have,contraction,
i'll,i will,contraction,
i'll've,i will have,contraction,
i'm,i am,contraction,
i'ma,i am going to,contraction,
i've,i have,contraction,
isn't,is not,contraction,
isnt,is not,contraction,
it'd,it would,contraction,
it'd've,it would have,contraction,
it'll,it will,contraction,
it'll've,it will have,contraction,
it's,it is,contraction,
let's,let us,contraction,
ma'am,madam,contraction,
mayn't,may not,contraction,
might've,might have,contraction,
mightn't,might not,contraction,
mightn't've,might not have,contraction,
must've,must have,contraction,
mustn't,must not,contraction,
mustn't've,must not have,contraction,
needn't,need not,contraction,
needn't've,need not have,contraction,
oughtn't,ought not,contraction,
oughtn't've,ought not have,contraction,
sha'n't,shall not,contraction,
shan't,shall not,contraction,
shan't've,shall not have,contraction,
she'd,she would,contraction,
she'd've,she would have,contraction,
she'll,she will,contraction,
she'll've,she will have,contraction,
she's,she is,contraction,
should've,should have,contraction,
shouldn,should not,contraction,
shouldn't,should not,contraction,
shouldn't've,should not have,contraction,
shouldnt,should not,contraction,
so's,so as,contraction,
so've,so have,contraction,
that'd,that would,contraction,
that'd've,that would have,contraction,
that'll,that will,contraction,
that's,that is,contraction,
there'd,there would,contraction,
there'd've,there would have,contraction,
there'll,there will,contraction,
there's,there is,contraction,
they'd,they would,contraction,
they'd've,they would have,contraction,
they'll,they will,contraction,
they'll've,they will have,contraction,
they're,they are,contraction,
they've,they have,contraction,
this's,this is,contraction,
to've,to have,contraction,
u'll,you will,contraction,
wasn,was not,contraction,
wasn't,was not,contraction,
wasnt,was not,contraction,
we'd,we would,contraction,
we'd've,we would have,contraction,
we'll,we will,contraction,
we'll've,we will have,contraction,
we're,we are,contraction,
we've,we have,contraction,
weren't,were not,contraction,
what'll,what will,contraction,
what'll've,what will have,contraction,
what're,what are,contraction,
what's,what is,contraction,
what've,what have,contraction,
when's,when is,contraction,
when've,when have,contraction,
where'd,where would,contraction,
where's,where is,contraction,
where've,where have,contraction,
who'd,who would,contraction,
who'll,who will,contraction,
who'll've,who will have,contraction,
who's,who is,contraction,
who've,who have,contraction,
why's,why is,contraction,
why've,why have,contraction,
will've,will have,contraction,
won't,will not,contraction,
won't've,will not have,contraction,
wont,will not,contraction,
would've,would have,contraction,
wouldn,would not,contraction,
wouldn't,would not,contraction,
wouldn't've,would not have,contraction,
y'all,you all,contraction,
y'all'd,you all would,contraction,
y'all'd've,you all would have,contraction,
y'all're,you all are,contraction,
y'all've,you all have,contraction,
you'd,you would,contraction,
you'd've,you would have,contraction,
you'll,you will,contraction,
you'll've,you will have,contraction,
you're,you are,contraction,
you've,you have,contraction,
#s,numbers,misspell,
100pct,hundred percent,misspell,
1hour,one hour,misspell,
1month,one month,misspell,
1st,first,misspell,
1yr,one year,misspell,
2nd,second,misspell,
3-d,three dimensional,misspell,
3rd,third,misspell,
aace,face,misspell,
aagain,again,misspell,
aagghh,argh,misspell,
aagh,aah,misspell,
aahaha,hahaha,misspell,
aamazing,amazing,misspell,
aand,and,misspell,
aandd,and,misspell,
aannd,and,misspell,
aanndd,and,misspell,
aare,are,misspell,
aargh,argh,misspell,
aarrgg,argh,misspell,
aarrgghh,argh,misspell,
aass,ass ,misspell,
aaw,aw,misspell,
aawwesome,awesome,misspell,
aay,ay,misspell,
aayy,ayy,misspell,
abck,back,misspell,
abilify,ability,misspell,
abiut,about,misspell,
abive,above,misspell,
abla,able,misspell,
abney,abbey,misspell,
aboardd,aboard,misspell,
aboce,above,misspell,
aboe,able,misspell,
aboout,about,misspell,
abour,about,misspell,
abouve,above,misspell,
abover,above,misspell,
absolutley,absolutely,misspell,
absolutly,absolutely,misspell,
abuy,buy,misspell,
abve,above,misspell,
accadentally,accidentally,misspell,
accdentt,accident,misspell,
accedent,accident,misspell,
accending,ascending,misspell,
accidentely,accidentally,misspell,
accidently,accidentally,misspell,
accidetly,accidentally,misspell,
accion,action,misspell,
accnt,account,misspell,
accnts,accounts,misspell,
accommodations,accommodation,misspell,
accomodate,accommodate,misspell,
accomodative,accommodative,misspell,
accout,account,misspell,
accross,across,misspell,
acct,account,misspell,
acctng,accounting,misspell,
accumalate,accumulate,misspell,
accumalating,accumulating,misspell,
accumalation,accumulation,misspell,
accumilate,accumulate,misspell,
accumilating,accumulating,misspell,
accumilation,accumulation,misspell,
accumlate,accumulate,misspell,
accumlating,accumulating,misspell,
accumlation,accumulation,misspell,
accumm,accumulation,misspell,
accumul,accumulation,misspell,
accuray,accuracy,misspell,
acheive,achieve,misspell,
acheived,achieved,misspell,
achived,achieved,misspell,
achtung,beware,misspell,
acinvestor,investor,misspell,
acker,hacker,misspell,
acknowledgement,acknowledgment,misspell,
