symbol,title,ambiguous_ticker,ambiguous_title
f,ford,True,True
s,sprint,True,True
jwn,nordstrom,False,False
arcb,arcbest,False,False
cnw,con-way,False,False
amzn,amazon.com,False,False
fxi,ishares,False,False
twentyten,predictions,False,False
olo,powershares,False,False
leap,leap,True,True
pcs,metropcs,False,False
dia,spdr,False,False
spy,spdr,True,False
vix,cboe,False,False
aone,a123,False,False
tsra,tessera,False,True
hero,hercules,True,True
ezpw,ezcorp,False,False
ne,noble,True,True
trlg,true,False,True
aapl,apple,False,True
es_f,e-mini,False,False
ati,allegheny,True,True
spx,s&p,False,False
bb,blackberry,False,True
sbux,starbucks,False,False
czz,cosan,False,False
npd,china,False,True
rmbs,rambus,False,False
tie,titanium,True,True
kfi,kkr,False,False
mcd,mcdonald's,False,False
yrcw,yrc,False,False
compq,nasdaq,False,False
djia,dow,False,True
nq_f,e-mini,False,False
ym_f,e-mini,False,False
a,agilent,True,False
usd,proshares,False,False
gld,spdr,False,False
gbpusd,british,False,True
audusd,australian,False,True
wti,w&t,False,False
eurgbp,euro,False,False
mos,mosaic,False,True
gs,goldman,False,False
cl_f,"light,",False,False
gc_f,gold,False,True
ng_f,natural,False,True
zb_f,30,False,False
iwm,ishares,False,False
iyr,ishares,False,False
xlf,financial,False,True
chl,china,False,True
cmcsa,comcast,False,False
gps,gap,False,True
itub,ita,False,True
jpm,jpmorgan,False,False
td,the,True,True
rtk,"rentech,",False,False
seed,origin,True,True
osis,osi,False,False
odfl,old,False,True
mvl,marvel,False,True
med,medifast,False,False
imax,imax,False,False
acwi,ishares,False,False
slgn,silgan,False,False
pcx,patriot,False,True
vnm,market,False,True
usb,u.s.,False,False
avgo,broadcom,False,False
ctfo,china,False,True
ery,direxion,False,False
liwa,lihua,False,False
rst,rosetta,False,True
trw,trw,False,False
tza,direxion,False,False
wbd,wimm-bill-dann,False,False
teck,teck,True,True
nyt,the,False,True
gtiv,gentiva,False,False
cybs,cybersource,False,False
ung,united,False,True
visn,visionchina,False,False
goog,alphabet,False,True
kmp,kinder,False,False
fed,the,True,True
tbt,proshares,False,False
msft,microsoft,False,False
mdy,spdr,False,False
nfo,guggenheim,False,False
cash,meta,True,True
b,barnes,True,False
atvi,activision,False,False
csco,cisco,False,True
ba,boeing,True,False
t,"at&t,",True,False
pfe,pfizer,False,False
mrk,merck,False,False
kft,kraft,False,True
hd,the,False,True
dd,ei,False,False
cvx,chevron,False,True
vz,verizon,False,False
c,"citigroup,",True,False
bmy,bristol-myers,False,False
sgol,etfs,False,False
slv,ishares,False,False
tlt,ishares,False,False
uup,powershares,False,False
l,loews,True,False
china,cdc,True,False
wfc,wells,False,False
aig,american,False,True
dar,darling,True,True
etfc,e*trade,False,False
hit,hitachi,True,False
intc,intel,False,False
crm,salesforce.com,False,False
ewj,ishares,False,False
jfbi,jefferson,False,False
brf,market,False,True
eem,ishares,False,False
ewz,ishares,False,False
ifn,india,False,True
tdf,templeton,False,False
trf,templeton,False,False
jaso,ja,False,False
drys,"dryships,",False,False
dsx,diana,False,True
ocnf,"oceanfreight,",False,False
sea,guggenheim,True,False
gbpjpy,british,False,True
adm,archer,False,True
bg,bunge,False,False
cag,conagra,True,False
usdjpy,us,False,True
yelp,yelp,True,True
eurusd,euro,False,False
palm,"palm,",True,False
eurchf,euro,False,False
usdcad,us,False,True
eurjpy,euro,False,False
gol,gol,True,True
fnfg,first,False,True
shs,sauer-danfoss,False,False
usdchf,us,False,True
biib,biogen,False,True
ntrs,northern,False,True
java,sun,True,True
ivz,invesco,False,False
idti,integrated,False,False
gmcr,keurig,False,False
finl,finish,False,True
eni,enersis,False,False
nvda,nvidia,False,False
ann,anntaylor,True,False
qid,proshares,False,False
payx,paychex,False,False
nwbi,northwest,False,True
nrg,nrg,False,False
ge,general,True,True
esv,ensco,False,False
dfs,discover,False,True
wynn,wynn,True,True
ener,energy,False,True
avb,avalonbay,False,False
spg,simon,False,True
psa,public,False,True
pld,prologis,False,False
nly,annaly,False,False
hcp,"hcp,",False,False
hcn,health,False,True
eqr,equity,False,True
bxp,boston,False,True
bpo,brookfield,False,False
vno,vornado,False,False
mu,micron,True,True
kr,the,False,True
es,eversource,True,False
dri,darden,False,False
rnow,rightnow,False,False
hrbn,harbin,False,False
rino,rino,False,False
fnma,federal,False,True
fmcc,freddie,False,True
ttwo,take-two,False,False
cvc,cablevision,False,False
nws,news,False,True
sni,scripps,False,False
twc,time,False,True
tex,terex,False,False
twtr,twitter,False,True
hlf,herbalife,False,False
edc,direxion,False,False
edz,direxion,False,False
jblu,jetblue,False,False
yong,yongye,False,False
tna,direxion,False,False
thi,tim,False,True
smrt,stein,False,True
aacc,asset,False,True
ice,"intercontinentalexchange,",True,False
ctct,constant,False,True
immr,immersion,False,True
fas,direxion,False,False
cga,china,False,True
mgm,mgm,False,False
fmcn,focus,False,True
mxwl,maxwell,False,True
ora,ormat,True,False
wlt,walter,False,True
faz,direxion,False,False
esrx,express,False,True
gild,gilead,True,False
rad,rite,True,True
unh,unitedhealth,False,False
xom,exxon,False,False
plki,popeyes,False,False
axp,american,False,True
ford,forward,True,True
dx_f,ice,False,True
usdx,us,False,True
gdp,goodrich,False,False
nsc,norfolk,False,True
oke,oneok,False,False
apwr,a-power,False,False
sohu,sohu.com,False,False
ntes,"netease.com,",False,False
holi,hollysys,False,False
hmin,home,False,True
gsi,general,False,True
gro,agria,False,True
grmn,garmin,False,False
fuqi,fuqi,False,False
feed,agfeed,True,False
cbak,china,False,True
caas,china,False,True
bidu,"baidu,",False,False
best,shiner,True,True
hig,hartford,False,False
oil,ipath,True,False
x,united,True,True
agp,amerigroup,False,False
ggb,gerdau,False,False
mdvn,"medivation,",False,False
tlb,the,False,True
azn,astrazeneca,False,False
avp,avon,False,False
kmb,kimberly-clark,False,False
irm,iron,False,True
lb,l,False,True
noc,northrop,False,False
pal,north,True,True
cli,mack-cali,False,False
apkt,acme,False,True
uso,united,False,True
stj,st.,False,False
sppi,spectrum,False,True
cnvr,"conversant,",False,False
txi,texas,False,True
wmb,williams,False,False
trgt,"targacept,",False,False
chbt,"china-biotics,",False,False
ca,ca,True,True
joy,joy,True,True
evvv,"ev3,",False,False
hpq,hewlett-packard,False,False
sds,proshares,False,False
amsc,american,False,True
anv,allied,False,True
egi,entree,False,True
nsu,nevsun,False,False
rby,rubicon,False,True
ric,richmont,True,False
bac,bank,True,True
hbhc,hancock,False,False
hcbk,hudson,False,False
mbfi,mb,False,False
wbs,webster,False,True
din,"dineequity,",True,False
bcpc,balchem,False,False
dba,powershares,False,False
gsg,ishares,False,False
bcs,barclays,False,False
hsbc,hsbc,False,False
rbs,royal,False,True
dal,delta,True,True
ibb,ishares,False,False
cost,costco,True,False
fro,frontline,True,False
iyt,ishares,False,False
sgmo,sangamo,False,False
flr,fluor,False,True
ibm,international,False,True
xlb,materials,False,False
xlk,technology,False,True
xly,consumer,False,True
wire,encore,True,True
pot,potash,True,True
eee,evergreen,False,True
yhoo,yahoo!,False,False
avf,american,False,True
siri,sirius,False,True
kmx,carmax,False,False
smh,vaneck,False,False
chk,chesapeake,False,True
csun,china,False,True
hgsi,human,False,True
iphs,innophos,False,False
pxd,pioneer,False,True
aa,alcoa,True,False
fire,"sourcefire,",True,False
ioc,interoil,False,False
su,suncor,False,False
tf_f,russell,False,True
fsbk,first,False,True
ldk,ldk,False,False
stp,suntech,False,False
tsl,trina,False,False
eat,brinker,True,False
ame,ametek,True,False
skf,proshares,False,False
twx,time,False,True
dis,walt,True,True
nflx,"netflix,",False,False
big,big,True,True
avtr,avatar,False,False
edgr,edgar,False,True
fur,winthrop,True,False
mofg,midwest,False,True
tayc,taylor,False,True
nvmi,nova,False,True
ascma,ascent,False,True
ms,morgan,False,True
exm,excel,False,True
aobc,american,False,True
hban,huntington,False,False
mi,marshall,True,True
vlo,valero,False,False
etp,energy,False,True
rick,rci,True,False
vxx,ipath,False,False
nzdjpy,new,False,True
eurcad,euro,False,False
mww,monster,False,True
nzdusd,new,False,True
anr,alpha,False,True
iwb,ishares,False,False
euraud,euro,False,False
ftek,"fuel-tech,",False,False
lll,l-3,False,False
cal,caleres,True,False
cf,cf,False,False
somx,somaxon,False,False
clne,clean,False,True
gsk,glaxosmithkline,False,False
ing,ing,True,True
tyh,direxion,False,False
typ,direxion,False,False
tibx,tibco,False,False
fig,fortress,True,True
lvs,las,False,True
emr,emerson,False,False
wfm,whole,False,True
fslr,first,False,True
itt,itt,False,False
aro,"aeropostale,",True,False
luv,southwest,False,True
ttm,tata,False,False
schw,charles,False,True
eonc,eon,False,True
csiq,canadian,False,True
giii,g-iii,False,False
uti,universal,False,True
ief,ishares,False,False
acls,axcelis,False,False
cytx,cytori,False,False
fbr,fibria,False,False
kirk,kirkland's,True,False
rdn,radian,False,True
aixg,aixtron,False,False
dell,dell,True,True
xle,energy,False,True
xlu,utilities,False,False
oih,oil,False,True
kre,spdr,False,False
xrt,spdr,False,False
zagg,zagg,False,False
vrnm,verenium,False,False
cbs,cbs,False,False
cadjpy,canadian,False,True
zn_f,10,False,False
icxt,icx,False,False
gold,randgold,True,False
dpz,domino's,False,False
sndk,sandisk,False,False
idn,intellicheck,False,False
audjpy,australian,False,True
autc,autochina,False,False
rdc,rowan,False,True
apol,apollo,False,True
bby,best,False,True
ftk,flotek,False,False
pfg,principal,False,True
sune,sunedison,True,False
look,"looksmart,",True,False
jef,jefferies,True,False
ubs,ubs,False,False
dndn,dendreon,False,False
cno,cno,False,False
zumz,"zumiez,",False,False
rax,rackspace,True,False
ftnt,fortinet,False,False
cbi,chicago,False,False
hgg,"hhgregg,",False,False
nem,newmont,False,False
snda,shanda,False,False
cern,cerner,True,False
mee,massey,False,False
fe,firstenergy,True,False
kex,kirby,True,False
spw,spx,False,False
cme,cme,False,False
cbg,cb,False,False
gsc,gs,False,False
anf,abercrombie,False,False
gce,claymore,False,True
insg,inseego,False,False
bx,the,False,True
lpx,louisiana-pacific,False,False
jny,the,False,True
tree,lending,True,False
disk,image,True,True
gt,goodyear,False,True
cagc,china,False,True
lulu,lululemon,True,False
sti,suntrust,False,False
ilmn,illumina,False,False
drn,direxion,False,False
srs,proshares,False,False
stx,seagate,False,False
crnt,ceragon,False,False
bsx,boston,False,True
ea,electronic,True,True
zion,zions,True,False
fcel,fuelcell,False,False
audcad,australian,False,True
abat,advanced,False,True
boom,dynamic,True,True
mhfi,mcgraw,False,False
lvlt,level,False,True
abr,arbor,False,True
pcp,precision,False,True
auo,au,False,False
hitk,hi,False,True
linc,lincoln,False,True
ngd,new,False,True
swc,stillwater,False,True
pjc,piper,False,True
atpg,atp,False,False
v,"visa,",True,False
eslr,evergreen,False,True
ard,arena,False,True
epi,wisdomtree,False,False
rsx,vaneck,False,False
fsin,fushi,False,False
husa,houston,False,False
iag,iamgold,False,False
pii,polaris,False,True
stec,"stec,",False,False
aks,ak,False,True
rl,polo,False,True
lz,lubrizol,False,False
fls,flowserve,False,False
cat,caterpillar,True,True
asia,"asiainfo-linkage,inc.",False,False
amtd,td,False,True
yge,yingli,False,False
fcx,freeport-mcmoran,False,False
thm,international,False,True
fmbi,first,False,True
hain,the,True,True
cy,cypress,False,True
swks,skyworks,False,False
syna,synaptics,False,False
cms,cms,False,False
hqcl,hanwha,False,False
exchtalk,exchange,False,True
xlnx,xilinx,False,False
amd,advanced,False,True
dhi,dr,False,False
nile,blue,True,True
smi,semiconductor,False,True
mlco,melco,False,False
iac,iac/interactivecorp.,False,False
ltm,latam,False,False
rhi,robert,False,True
wtw,weight,False,True
acl,alcon,False,False
k,kellogg,True,False
dan,dana,True,True
hw,headwaters,False,False
jdsu,jds,False,False
nwsa,news,False,True
qld,proshares,False,False
si_f,silver,False,True
nvs,novartis,False,False
enzn,enzon,False,False
ipxl,impax,False,False
achv,achieve,False,True
slxp,salix,False,True
snts,"santarus,",False,False
vnda,vanda,False,True
mssr,mccormick,False,False
ilf,ishares,False,False
upl,ultra,False,True
wyn,wyndham,True,False
cs,credit,False,True
svra,savara,False,True
emc,emc,False,False
gmxr,gmx,False,False
kz,kongzhong,False,False
adbe,adobe,False,True
orcl,oracle,False,True
fb,facebook,False,False
dvn,devon,False,True
vimc,vimicro,False,False
uqm,uqm,False,False
tlvt,telvent,False,False
nano,nanometrics,False,False
